id	section	illustration	original_scripture
1	OT	The Creation of Light	Genesis 1:3
2	OT	The Formation of Eve / The Creation of Eve	Genesis 2:21-22
3	OT	Adam and Eve Driven Out of Eden	Genesis 3:24
4	OT	Cain and Abel Offering Their Sacrifices	Genesis 4:3-5
5	OT	The Death of Abel / Cain Slays Abel	Genesis 4:8-9
6	OT	The World Destroyed by Water	Genesis 7:24
7	OT	The Deluge / The Great Flood	Genesis 8:3-4
8	OT	The Dove Sent Forth from the Ark	Genesis 8:11
9	OT	Noah Cursing Canaan	Genesis 9:24-25
10	OT	The Confusion of Tongues	Genesis 11:6-8
11	OT	Abraham Journeying into the Land of Canaan	Genesis 12:1
12	OT	Abraham and the Three Angels	Genesis 18:9-10
13	OT	The Flight of Lot	Genesis 19:24-26
14	OT	The Expulsion of Ishmael and His Mother	Genesis 21:14
15	OT	Hagar and Ishmael in the Wilderness	Genesis 21:17-18
16	OT	The Trial of Abraham's Faith	Genesis 22:10-12
17	OT	The Burial of Sarah	Genesis 23:19
18	OT	Eliezer and Rebekah	Genesis 24:16
19	OT	The Meeting of Isaac and Rebekah	Genesis 24:65-67
20	OT	Isaac Blessing Jacob	Genesis 27:29
21	OT	Jacob's Dream	Genesis 28:12
22	OT	Jacob Keeping Laban's Flocks	Genesis 29:1-20
23	OT	The Prayer of Jacob	Genesis 32:11
24	OT	Jacob Wrestling with the Angel	Genesis 32:24
25	OT	The Meeting of Jacob and Esau	Genesis 33:3-4
26	OT	Joseph Sold by His Brethren	Genesis 37:28
27	OT	Joseph Interpreting the Pharaoh's Dream	Genesis 41:25-26
28	OT	Joseph Makes Himself Known to His Brethren	Genesis 45:1
29	OT	Jacob Goeth Into Egypt	Genesis 46:5
30	OT	The Child Moses on the Nile	Exodus 2:3
31	OT	The Finding of Moses	Exodus 2:6
32	OT	Moses and Aaron Before Pharaoh	Exodus 7:10
33	OT	The Murrain of Beasts	Exodus 9:2-3
34	OT	The Plague of Darkness	Exodus 10:22
35	OT	The Firstborn Slain	Exodus 12:29-30
36	OT	The Egyptians Urge Moses to Depart	Exodus 12:31
37	OT	The Egyptians Drowned in the Red Sea	Exodus 14:27
38	OT	Moses Striking the Rock in Horeb	Exodus 17:6
39	OT	The Giving of the Law Upon Mt. Sinai	Exodus 19:18
40	OT	Moses Coming Down From Mt. Sinai	Exodus 32:15
41	OT	Moses Breaking the Tablets of the Law	Exodus 32:19
42	OT	Return of the Spies from the Land of Promise	Numbers 13:27
43	OT	Death of Korah, Dathan, and Abiram	Numbers 16:32
44	OT	The Brazen Serpent / The Bronze Serpent	Numbers 21:9
45	OT	The Angel Appearing to Balaam	Numbers 22:23
46	OT	The Children of Israel Crossing Jordan	Joshua 3:17
