dore_id	classification	dore_title	original_reference	original_book	original_chapter	stage1_source_verified	stage2_primary_cover	stage2_cover_target	stage3_parallel_targets	stage4_semantic_reuse_targets	stage5_deuterocanon_cover_target	notes
001	CANONICAL	The Creation of Light	Genesis 1:3	Genesis	1	YES						
002	CANONICAL	The Formation of Eve	Genesis 2:21-22	Genesis	2	YES						
003	CANONICAL	Adam and Eve Driven Out of Eden	Genesis 3:24	Genesis	3	YES						
004	CANONICAL	Cain and Abel Offering Their Sacrifices	Genesis 4:3-5	Genesis	4	YES						
005	CANONICAL	The Death of Abel	Genesis 4:8-9	Genesis	4	YES						
006	CANONICAL	The World Destroyed by Water	Genesis 7:24	Genesis	7	YES						
007	CANONICAL	The Deluge	Genesis 8:3-4	Genesis	8	YES						
008	CANONICAL	The Dove Sent Forth from the Ark	Genesis 8:11	Genesis	8	YES						
009	CANONICAL	Noah Cursing Canaan	Genesis 9:24-25	Genesis	9	YES						
010	CANONICAL	The Confusion of Tongues	Genesis 11:6-8	Genesis	11	YES						
011	CANONICAL	Abraham Journeying into the Land of Canaan	Genesis 12:1	Genesis	12	YES						
012	CANONICAL	Abraham and the Three Angels	Genesis 18:9-10	Genesis	18	YES						
013	CANONICAL	The Flight of Lot	Genesis 19:24-26	Genesis	19	YES						
014	CANONICAL	The Expulsion of Ishmael and His Mother	Genesis 21:14	Genesis	21	YES						
015	CANONICAL	Hagar and Ishmael in the Wilderness	Genesis 21:17-18	Genesis	21	YES						
016	CANONICAL	The Trial of Abraham's Faith	Genesis 22:10-12	Genesis	22	YES						
017	CANONICAL	The Burial of Sarah	Genesis 23:19	Genesis	23	YES						
018	CANONICAL	Eliezer and Rebekah	Genesis 24:16	Genesis	24	YES						
019	CANONICAL	The Meeting of Isaac and Rebekah	Genesis 24:65-67	Genesis	24	YES						
020	CANONICAL	Isaac Blessing Jacob	Genesis 27:29	Genesis	27	YES						
021	CANONICAL	Jacob's Dream	Genesis 28:12	Genesis	28	YES						
022	CANONICAL	Jacob Keeping Laban's Flocks	Genesis 29:1-20	Genesis	29	YES						
023	CANONICAL	The Prayer of Jacob	Genesis 32:11	Genesis	32	YES						
024	CANONICAL	Jacob Wrestling with the Angel	Genesis 32:24	Genesis	32	YES						
025	CANONICAL	The Meeting of Jacob and Esau	Genesis 33:3-4	Genesis	33	YES						
026	CANONICAL	Joseph Sold by His Brethren	Genesis 37:28	Genesis	37	YES						
027	CANONICAL	Joseph Interpreting Pharaoh's Dream	Genesis 41:25-26	Genesis	41	YES						
028	CANONICAL	Joseph Makes Himself Known to His Brethren	Genesis 45:1	Genesis	45	YES						
029	CANONICAL	Jacob Goeth Into Egypt	Genesis 46:5	Genesis	46	YES						
030	CANONICAL	The Child Moses on the Nile	Exodus 2:3	Exodus	2	YES						
031	CANONICAL	The Finding of Moses	Exodus 2:6	Exodus	2	YES						
032	CANONICAL	Moses and Aaron Before Pharaoh	Exodus 7:10	Exodus	7	YES						
033	CANONICAL	The Murrain of Beasts	Exodus 9:2-3	Exodus	9	YES						
034	CANONICAL	The Plague of Darkness	Exodus 10:22	Exodus	10	YES						
035	CANONICAL	The Firstborn Slain	Exodus 12:29-30	Exodus	12	YES						
036	CANONICAL	The Egyptians Urge Moses to Depart	Exodus 12:31	Exodus	12	YES						
037	CANONICAL	The Egyptians Drowned in the Red Sea	Exodus 14:27	Exodus	14	YES						
038	CANONICAL	Moses Striking the Rock in Horeb	Exodus 17:6	Exodus	17	YES						
039	CANONICAL	The Giving of the Law Upon Mt. Sinai	Exodus 19:18	Exodus	19	YES						
