layer	dore_id	dore_title	primary_reference	parallel_target	parallel_type	status	notes
ONE_PARALLEL	001	The Creation of Light	Genesis 1	John 1	CREATION-NEW CREATION	VERIFIED	Master ID verified.
ONE_PARALLEL	001	The Creation of Light	Genesis 1	2 Corinthians 4	CREATION-NEW CREATION	VERIFIED	Master ID verified.
ONE_PARALLEL	002	The Formation of Eve	Genesis 2	Ephesians 5	ADAM-CHRIST TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	003	Adam and Eve Driven Out of Eden	Genesis 3	Romans 5	ADAM-CHRIST TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	003	Adam and Eve Driven Out of Eden	Genesis 3	1 Corinthians 15	ADAM-CHRIST TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	006	The World Destroyed by Water	Genesis 7	1 Peter 3	FLOOD-BAPTISM TYPOLOGY	VERIFIED	Master ID verified.
ONE_PARALLEL	006	The World Destroyed by Water	Genesis 7	2 Peter 3	FLOOD-JUDGMENT PARALLEL	VERIFIED	Master ID verified.
ONE_PARALLEL	009	Noah Cursing Canaan	Genesis 9	Hebrews 11	FAITH RETROSPECT	VERIFIED	Master ID verified.
ONE_PARALLEL	012	Abraham and the Three Angels	Genesis 18	Hebrews 13	ANGELIC HOSPITALITY	VERIFIED	Master ID verified.
ONE_PARALLEL	016	The Trial of Abraham's Faith	Genesis 22	Hebrews 11	FAITH RETROSPECT	VERIFIED	Corrected from obsolete title/ID Abraham and Isaac.
ONE_PARALLEL	016	The Trial of Abraham's Faith	Genesis 22	James 2	FAITH-WORKS RETROSPECT	VERIFIED	Corrected from obsolete title/ID Abraham and Isaac.
ONE_PARALLEL	024	Jacob Wrestling with the Angel	Genesis 32	Hosea 12	PROPHETIC RETROSPECT	VERIFIED	Corrected to master ID 024.
ONE_PARALLEL	028	Joseph Makes Himself Known to His Brethren	Genesis 45	Acts 7	HISTORICAL RETROSPECT	VERIFIED	Corrected to master ID 028.
ONE_PARALLEL	030	The Child Moses on the Nile	Exodus 2	Acts 7	HISTORICAL RETROSPECT	VERIFIED	Corrected to actual master plate.
ONE_PARALLEL	037	The Egyptians Drowned in the Red Sea	Exodus 14	1 Corinthians 10	EXODUS-BAPTISM TYPOLOGY	VERIFIED	Corrected to master ID 037.
ONE_PARALLEL	038	Moses Striking the Rock in Horeb	Exodus 17	1 Corinthians 10	ROCK-CHRIST TYPOLOGY	VERIFIED	Corrected to master ID 038.
ONE_PARALLEL	041	Moses Breaking the Tablets of the Law	Exodus 32	2 Corinthians 3	COVENANT CONTRAST	VERIFIED	Corrected title/ID to master.
ONE_PARALLEL	044	The Brazen Serpent	Numbers 21	John 3	SERPENT-CRUCIFIXION TYPOLOGY	VERIFIED	Corrected to master ID 044.
ONE_PARALLEL	045	The Angel Appearing to Balaam	Numbers 22	2 Peter 2	BALAAM RETROSPECT	VERIFIED	Corrected to master ID 045.
ONE_PARALLEL	045	The Angel Appearing to Balaam	Numbers 22	Jude 1	BALAAM RETROSPECT	VERIFIED	Corrected to master ID 045.
ONE_PARALLEL	053	Joshua Commanding the Sun to Stand Still	Joshua 10	Habakkuk 3	HOLY-WAR POETIC PARALLEL	VERIFIED	Corrected to master ID 053.
ONE_PARALLEL	056	Gideon Choosing His Soldiers	Judges 7	Hebrews 11	FAITH RETROSPECT	VERIFIED	Corrected to master ID 056.
ONE_PARALLEL	062	Samson Slaying a Lion	Judges 14	Hebrews 11	FAITH RETROSPECT	VERIFIED	Corrected to master ID 062.
ONE_PARALLEL	071	Boaz and Ruth	Ruth 2	Matthew 1	MESSIANIC GENEALOGY	VERIFIED	Corrected title/ID to master.
ONE_PARALLEL	073	Samuel Blessing Saul	1 Samuel 9	Acts 13	KINGSHIP RETROSPECT	VERIFIED	Corrected to master ID 073.
ONE_PARALLEL	075	David and Goliath	1 Samuel 17	Hebrews 11	FAITH-VICTORY RETROSPECT	VERIFIED	Corrected title to master.
ONE_PARALLEL	080	Saul and the Witch of Endor	1 Samuel 28	1 Chronicles 10	SAUL JUDGMENT RETROSPECT	VERIFIED	Corrected to master ID 080.
ONE_PARALLEL	085	David Mourning the Death of Absalom	2 Samuel 18	Psalm 3	DAVID-ABSALOM CONTEXT	VERIFIED	Corrected to master ID 085.
ONE_PARALLEL	097	Elijah Taken Up To Heaven in a Chariot of Fire	2 Kings 2	Luke 9	ELIJAH-CHRIST MOTIF	VERIFIED	Corrected title/ID to master.
