layer	dore_id	dore_title	original_reference	canonical_target	semantic_basis
STAGE5	140	Tobias and the Angel	Tobit 6:4	Genesis 24	GUIDED_JOURNEY_MARRIAGE
STAGE5	141	The Angel Raphael and the Family of Tobit	Tobit 12:15,20	Judges 13	ANGEL_REVEALS_IDENTITY
STAGE5	142	Judith and Holofernes	Judith 13:8	Judges 4	WOMAN_DEFEATS_ENEMY_COMMANDER
STAGE5	143	Judith Shows the Head of Holofernes	Judith 13:14	Judges 5	WOMAN_VICTORY_CELEBRATED
STAGE5	144	Esther Before the King	Esther 15:6-7	Esther 5	ESTHER_APPROACHES_KING
STAGE5	145	Mattathias and the Apostate	1 Maccabees 2:23-24	Numbers 25	ZEAL_AGAINST_APOSTASY
STAGE5	146	Mattathias Appeals to the Jewish Refugees	1 Maccabees 2:50	Joshua 24	COVENANT_CHOICE_APPEAL
STAGE5	147	Judas Maccabeus Pursues Timotheus	1 Maccabees 5:42	1 Samuel 30	PURSUIT_RESCUE_BATTLE
STAGE5	148	The Death of Eleazar	1 Maccabees 6:43,46	2 Samuel 23	HEROIC_WARRIOR_SACRIFICE
STAGE5	149	Jonathan Destroys the Temple of Dagon	1 Maccabees 10:84	1 Samuel 5	DAGON_TEMPLE_DEFEAT
STAGE5	150	Heliodorus Is Cast Down	2 Maccabees 3:25-27	2 Kings 19	SUPERNATURAL_DEFENSE_OF_HOLY_CITY
STAGE5	151	The Army Appears in the Heavens	2 Maccabees 5:2	2 Kings 6	HEAVENLY_ARMY
STAGE5	152	The Martyrdom of Eleazar the Scribe	2 Maccabees 6:30	Daniel 3	FAITHFULNESS_UNDER_DEATH_THREAT
STAGE5	153	The Courage of a Mother	2 Maccabees 7:29	Hebrews 11	FAITH_UNDER_TORTURE_RESURRECTION_HOPE
STAGE5	154	The Punishment of Antiochus	2 Maccabees 9:7,9	Acts 12	PROUD_RULER_STRUCK_DOWN
STAGE5	155	The Angel Is Sent to Deliver Israel	2 Maccabees 11:8	2 Chronicles 32	DIVINE_DELIVERANCE_FROM_INVADING_ARMY
STAGE5	156	Judas Maccabeus before the Army of Nicanor	2 Maccabees 15:21	1 Samuel 17	FAITH_BEFORE_SUPERIOR_FORCE
STAGE5	157	Baruch	Baruch 3:14	Proverbs 2	SEARCH_FOR_WISDOM
STAGE5	158	Susanna in the Bath	Susanna 21 / Daniel 13	Genesis 39	SEXUAL_COERCION_AND_FALSE_ACCUSATION
STAGE5	159	The Justification of Susanna	Susanna 61-62 / Daniel 13	Deuteronomy 19	FALSE_WITNESSES_EXPOSED
STAGE5	160	Daniel Confounds the Priests of Bel	Bel and the Dragon / Daniel 14	1 Kings 18	FALSE_WORSHIP_EXPOSED
