layer	book	chapter	dore_id	dore_title	basis
STAGE6	Psalms	1	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	2	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	3	085	David Mourning the Death of Absalom	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	4	085	David Mourning the Death of Absalom	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	5	023	The Prayer of Jacob	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	6	085	David Mourning the Death of Absalom	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	7	079	David Showing Saul that He had Spared His Life	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	8	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	9	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	10	076	Saul Attempts the Life of David	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	11	077	The Escape of David Through the Window	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	12	076	Saul Attempts the Life of David	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	13	077	The Escape of David Through the Window	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	14	076	Saul Attempts the Life of David	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	15	078	David and Jonathan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	16	078	David and Jonathan	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	17	079	David Showing Saul that He had Spared His Life	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
STAGE6	Psalms	18	075	David and Goliath	REBUILT_FROM_EXISTING_PSALMS_DORE_PLAN_AND_MASTER_ID
