book	chapter	old_dore_id	new_dore_id	basis
Psalms	1	075	164	STAGE4_RIGHTEOUS_WAY
Psalms	4	085	023	STAGE4_PRAYER_DISTRESS
Psalms	7	079	059	STAGE4_VIOLENCE_RETURNS
Psalms	10	076	005	STAGE4_INNOCENT_BLOOD
Psalms	18	075	063	STAGE4_WARRIOR_DELIVERANCE
Psalms	23	078	022	STAGE4_SHEPHERD
Psalms	27	203	014	STAGE4_ABANDONMENT
Psalms	30	085	091	STAGE4_LIFE_DEATH
Psalms	34	079	093	STAGE4_ANGEL_PROVISION
Psalms	42	023	024	STAGE4_STRUGGLE_WITH_GOD
Psalms	46	103	094	STAGE4_WAR_GOD
Psalms	55	023	008	STAGE4_DOVE_REST
Psalms	57	023	133	STAGE4_LIONS_DELIVERANCE
Psalms	59	023	076	STAGE4_ENEMIES_HOUSE
Psalms	68	072	031	STAGE4_ORPHAN_PROVIDENCE
Psalms	72	088	108	STAGE4_KINGS_GIFTS
Psalms	74	115	124	STAGE4_MONSTER_DEFEAT
Psalms	75	043	118	STAGE4_REVERSAL_EXALTATION
Psalms	78	038	033	STAGE4_PLAGUES
Psalms	83	057	109	STAGE4_NATIONS_CONSPIRACY
Psalms	88	121	121	STAGE4_SUFFERING_COMPANIONS
Psalms	92	122	089	STAGE4_CEDARS_HOUSE
Psalms	94	088	058	STAGE4_MURDER_JUSTICE
Psalms	105	028	032	STAGE4_SIGNS_EGYPT
Psalms	106	039	043	STAGE4_REBELLION_JUDGMENT
Psalms	107	234	171	STAGE4_HEALING_DELIVERANCE
Psalms	114	037	038	STAGE4_ROCK_WATER
Psalms	118	046	172	STAGE4_COMING_KING
Psalms	126	111	070	STAGE4_RETURN_TEARS
Psalms	127	089	187	STAGE4_CHILDREN_GIFT
Psalms	130	115	136	STAGE4_DEPTHS_DELIVERANCE
Psalms	137	130	127	STAGE4_EXILE_LAMENT
Isaiah	8	122	080	STAGE4_MEDIUMS_WARNING
Isaiah	35	226	226	STAGE4_HEALING_RESTORATION
Isaiah	43	001	131	STAGE4_FIRE_PRESENCE
Isaiah	45	111	064	STAGE4_BROKEN_GATES
Isaiah	50	175	220	STAGE3B_SUFFERING_SERVANT
Isaiah	55	001	122	STAGE4_PROPHETIC_WORD
Isaiah	60	241	161	STAGE4_NATIONS_LIGHT
Isaiah	61	122	166	STAGE4_GOOD_NEWS_PROCLAMATION
1 Thessalonians	2	235	225	APOSTOLIC_PREACHING_MINISTRY
1 Thessalonians	3	235	078	BROTHERLY_ATTACHMENT_ENCOURAGEMENT
1 Thessalonians	4	235	192	RESURRECTION_ASCENSION_COMING
1 Thessalonians	5	235	240	DAY_OF_LORD_JUDGMENT
2 Thessalonians	1	235	240	COMING_JUDGMENT
2 Thessalonians	2	235	237	LAWLESSNESS_DEATH_JUDGMENT
2 Thessalonians	3	235	114	PRAYER_AND_FAITHFULNESS
SUMMARY	*	145_UNIQUE	155_UNIQUE	NO_FORCED_MATCHES
