book	chapter	old_dore_id	new_dore_id	basis	local_spacing_note
Psalms	2	075	240	MESSIANIC_KING_AND_JUDGMENT	separates from Psalm 1 and removes adjacent 075 repeat
Psalms	3	085	087	DAVID_RESCUE_FROM_ENEMIES	David rescue imagery; separates adjacent grief image
Psalms	5	023	114	MORNING_PRAYER_AND_PLEA	prayer image distinct from Psalm 4
Psalms	6	085	120	AFFLICTION_AND_PLEA	Job ruin imagery for severe distress; separates David mourning reuse
Psalms	8	075	001	CREATION_GLORY	creation image matches heavens/humanity theme
Psalms	9	075	240	RIGHTEOUS_JUDGMENT	judgment throne imagery; no adjacent repeat with Psalm 8
Psalms	11	077	103	DIVINE_JUDGMENT_AND_REFUGE	Zion deliverance/judgment imagery
Psalms	12	076	116	PURE_WORDS	public reading of law as word-centered image
Psalms	13	077	114	PRAYER_HOW_LONG	prayer image, spaced from Psalm 5
Psalms	14	076	043	CORRUPTION_AND_JUDGMENT	rebellion judgment imagery
Psalms	15	078	111	HOLY_HILL_AND_DWELLING	temple restoration imagery
Psalms	16	078	181	LIFE_BEYOND_DEATH	burial image retained as canonical resurrection trajectory
Psalms	17	079	093	PRAYER_FOR_PROTECTION	angelic protection imagery
Psalms	19	075	001	HEAVENS_DECLARE_GLORY	creation/light imagery
Psalms	20	075	073	ANOINTED_KING_IN_BATTLE	kingship imagery
Psalms	21	075	118	KING_EXALTED	triumph/exaltation imagery
Psalms	24	075	172	KING_OF_GLORY_ENTRY	coming king imagery
Psalms	25	023	162	GUIDANCE_ON_THE_WAY	journey/protection imagery
Psalms	28	023	114	SUPPLICATION	prayer imagery with sufficient spacing
Psalms	31	077	087	REFUGE_AND_RESCUE	rescue-in-battle imagery
Psalms	32	122	114	CONFESSION_AND_FORGIVENESS	Ezra prayer imagery
Psalms	33	001	007	CREATOR_AND_WATERS	creation/waters imagery
Psalms	35	076	063	CONTEND_WITH_ENEMIES	warrior deliverance imagery
Psalms	36	001	161	LIGHT_AND_LOVINGKINDNESS	light to nations/star imagery
Psalms	37	023	088	RIGHTEOUS_JUSTICE	wisdom/judgment imagery
Psalms	38	125	120	SUFFERING_UNDER_WRATH	affliction imagery
Psalms	39	122	017	MORTALITY_AND_END	burial/mortality imagery
Psalms	40	023	030	DRAWN_FROM_PIT	rescue-from-waters imagery
Psalms	41	085	091	SICKNESS_AND_RESTORATION	life/death restoration imagery
Psalms	43	114	161	LIGHT_AND_TRUTH	light-guidance imagery
Psalms	47	075	118	GOD_KING_OVER_NATIONS	triumph/exaltation imagery
Psalms	49	125	017	MORTALITY_AND_REDEMPTION	burial/mortality imagery
Psalms	50	122	240	DIVINE_JUDGMENT	last-judgment imagery
Psalms	51	122	114	CONFESSION_PRAYER	existing Stage4 direct semantic mapping
Psalms	52	043	119	EVIL_RETURNS_ON_WICKED	Esther accusing Haman/reversal of evil
Psalms	53	122	043	CORRUPTION_AND_JUDGMENT	rebellion judgment imagery
Psalms	54	023	087	DELIVER_ME_FROM_ENEMIES	rescue imagery
Psalms	56	023	093	TRUST_AMID_FEAR	angel/protection imagery
Psalms	58	043	240	JUDGMENT_ON_UNJUST	judgment imagery
Psalms	60	037	094	WAR_AND_RESTORATION	war/deliverance imagery
Psalms	61	023	115	STRONG_TOWER_REFUGE	walls/city refuge imagery
Psalms	62	023	088	GOD_AS_JUDGE_AND_REFUGE	wisdom/judgment imagery
Psalms	64	023	076	HIDDEN_ENEMIES	Saul attacking David imagery
Psalms	66	037	046	WATERS_AND_DELIVERANCE	crossing Jordan imagery
Psalms	67	116	161	NATIONS_AND_LIGHT	wise men/nations light imagery
Psalms	69	176	191	SUFFERING_AND_REPROACH	passion suffering imagery distinct from mockery
Psalms	70	023	087	HASTEN_TO_DELIVER	rescue imagery
Psalms	71	023	093	LIFELONG_REFUGE	protection imagery
Psalms	73	116	088	SANCTUARY_AND_JUSTICE	wisdom/judgment imagery
Psalms	76	103	094	GOD_BREAKS_WEAPONS	war defeated imagery
Psalms	77	037	007	WATERS_AND_MIGHT	flood/waters majesty imagery
Psalms	79	127	115	RUINED_JERUSALEM	ruined-city imagery
Psalms	80	127	089	RESTORE_VINE_AND_HOUSE	building/cedar restoration imagery
Psalms	81	111	039	SINAI_AND_COMMAND	giving-law imagery
Psalms	82	088	240	JUDGE_AMONG_GODS	judgment throne imagery
Psalms	84	111	112	TEMPLE_LONGING	temple rebuilding imagery
Psalms	85	111	070	RESTORATION_AND_RETURN	return imagery
Psalms	86	023	114	PRAYER_FOR_MERCY	prayer imagery
Psalms	87	127	241	ZION_CITY	New Jerusalem/Zion imagery
Psalms	89	088	073	DAVIDIC_COVENANT_KINGSHIP	anointing/kingship imagery
Psalms	90	040	017	MORTALITY	burial/mortality imagery
Psalms	91	093	162	PROTECTION_ON_THE_WAY	journey/protection imagery
Psalms	93	007	186	LORD_MIGHTIER_THAN_WATERS	storm-stilling imagery
Psalms	95	038	039	WORSHIP_AND_HARDENING_AT_WILDERNESS	Sinai/wilderness covenant imagery
Psalms	96	072	161	NATIONS_AND_GLORY	nations/light imagery
Psalms	97	122	001	LIGHT_AND_DIVINE_GLORY	creation light imagery
Psalms	98	072	172	KING_COMES_TO_JUDGE	coming-king imagery
Psalms	99	040	039	HOLY_KING_AND_MOSES	Sinai imagery
Psalms	100	072	116	WORSHIP_AND_PRAISE	public worship/law assembly imagery
Psalms	101	088	073	RIGHTEOUS_KINGSHIP	king image
Psalms	102	127	115	ZION_REBUILT	ruined/rebuilt Jerusalem imagery
Psalms	103	023	093	MERCY_AND_HEALING	angel/provision imagery
Psalms	104	001	007	CREATION_AND_WATERS	creation/waters imagery
Psalms	108	023	075	BATTLE_CONFIDENCE	David warrior imagery
Psalms	109	023	119	ACCUSATION_AND_JUDGMENT	accusation/evil judged imagery
Psalms	110	088	172	MESSIANIC_KING	royal entry imagery
Psalms	111	039	116	WORKS_AND_PRECEPTS	law/word imagery
Psalms	112	116	071	RIGHTEOUS_HOUSEHOLD	Boaz/Ruth household righteousness imagery
Psalms	113	070	118	LIFTS_LOWLY	triumph/exaltation reversal imagery
Psalms	115	039	004	TRUE_WORSHIP_VS_IDOLS	offering/worship imagery
Psalms	116	023	091	DELIVERED_FROM_DEATH	life/death restoration imagery
Psalms	117	116	161	ALL_NATIONS_PRAISE	nations/light imagery
Psalms	119	116	040	LAW_AND_COMMANDMENTS	Moses with law tablets imagery
Psalms	120	011	076	DISTRESS_AMONG_DECEITFUL	threat/enemy imagery
Psalms	123	023	114	PRAYER_FOR_MERCY	prayer imagery
Psalms	124	046	087	ESCAPE_FROM_ENEMIES	rescue imagery
Psalms	125	115	103	ZION_SURROUNDED_PROTECTED	Jerusalem deliverance imagery
Psalms	128	071	187	FAMILY_BLESSING	children/family blessing imagery
