book	total_chapters	chapter_to_dore_id	basis
Genesis	50	1:001,2:002,3:003,4:004,5:004,6:005,7:006,8:007,9:009,10:008,11:010,12:011,13:011,14:011,15:016,16:014,17:016,18:012,19:013,20:012,21:015,22:016,23:017,24:018,25:017,26:019,27:020,28:021,29:022,30:022,31:023,32:024,33:025,34:005,35:021,36:025,37:026,38:026,39:026,40:027,41:027,42:027,43:027,44:028,45:028,46:029,47:029,48:028,49:029,50:017	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
1 Samuel	31	1:114,2:070,3:195,4:072,5:149,6:072,7:073,8:073,9:073,10:073,11:075,12:073,13:074,14:078,15:074,16:075,17:075,18:076,19:077,20:078,21:077,22:076,23:077,24:079,25:079,26:079,27:077,28:080,29:077,30:147,31:081	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
2 Samuel	24	1:085,2:082,3:082,4:082,5:075,6:072,7:075,8:075,9:079,10:083,11:065,12:083,13:065,14:084,15:084,16:077,17:084,18:084,19:085,20:082,21:086,22:087,23:148,24:106	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
Psalms	150	1:075,2:075,3:085,4:085,5:023,6:085,7:079,8:075,9:075,10:076,11:077,12:076,13:077,14:076,15:078,16:078,17:079,18:075,19:075,20:075,21:075,22:122,23:078,24:075,25:023,26:114,27:203,28:023,29:007,30:085,31:077,32:122,33:001,34:079,35:076,36:001,37:023,38:125,39:122,40:023,41:085,42:023,43:114,44:103,45:108,46:103,47:075,48:103,49:125,50:122,51:122,52:043,53:122,54:023,55:023,56:023,57:023,58:043,59:023,60:037,61:023,62:023,63:015,64:023,65:116,66:037,67:116,68:072,69:176,70:023,71:023,72:088,73:116,74:115,75:043,76:103,77:037,78:038,79:127,80:127,81:111,82:088,83:057,84:111,85:111,86:023,87:127,88:121,89:088,90:040,91:093,92:122,93:007,94:088,95:038,96:072,97:122,98:072,99:040,100:072,101:088,102:127,103:023,104:001,105:028,106:039,107:234,108:023,109:023,110:088,111:039,112:116,113:070,114:037,115:039,116:023,117:116,118:046,119:116,120:011,121:162,122:115,123:023,124:046,125:115,126:111,127:089,128:071,129:036,130:115,131:071,132:072,133:039,134:089,135:057,136:037,137:130,138:023,139:001,140:023,141:039,142:023,143:023,144:075,145:023,146:015,147:112,148:001,149:057,150:072	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
Isaiah	66	1:122,2:122,3:122,4:122,5:122,6:122,7:001,8:122,9:001,10:103,11:001,12:001,13:239,14:123,15:123,16:123,17:123,18:123,19:123,20:123,21:123,22:115,23:123,24:124,25:001,26:001,27:124,28:103,29:115,30:103,31:103,32:001,33:001,34:122,35:226,36:103,37:103,38:114,39:123,40:001,41:111,42:122,43:001,44:232,45:111,46:123,47:123,48:111,49:122,50:175,51:001,52:111,53:210,54:111,55:001,56:116,57:125,58:116,59:125,60:241,61:122,62:241,63:240,64:114,65:241,66:241	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
Matthew	28	1:194,2:161,3:184,4:196,5:164,6:164,7:164,8:169,9:169,10:225,11:183,12:165,13:166,14:168,15:169,16:223,17:170,18:205,19:187,20:164,21:172,22:173,23:214,24:237,25:240,26:174,27:178,28:182	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
Mark	16	1:183,2:185,3:225,4:186,5:200,6:167,7:169,8:168,9:171,10:187,11:172,12:188,13:237,14:190,15:191,16:192	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
Luke	24	1:193,2:194,3:184,4:197,5:198,6:164,7:169,8:200,9:097,10:201,11:136,12:204,13:169,14:204,15:206,16:207,17:169,18:208,19:172,20:214,21:237,22:209,23:177,24:212	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
John	21	1:001,2:213,3:044,4:215,5:169,6:216,7:204,8:217,9:169,10:022,11:218,12:172,13:189,14:189,15:189,16:224,17:174,18:219,19:222,20:199,21:223	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
1 Thessalonians	5	1:235,2:235,3:235,4:235,5:235	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
2 Thessalonians	3	1:235,2:235,3:235	REBALANCED_FROM_241_MASTER_HIGH_CONFIDENCE
